Unit Name,Current Guesty Tags,CITY,PMC-INFORMATION,PROPERTY-EMAIL,VILLA NET DESTINATION TAG,VILLA NET PROPERTY MANAGER NAME,VILLA NET PARTNER RESERVATION EMAIL,VILLA NET RANK,VILLA NET COMMISSION RATE,VILLA NET EXCLUSIVE UNITS MANAGED,VILLA NET YEARS IN BUSINESS,VILLA NET AVG RESPONSE TIME HOURS,VILLA NET CALENDAR SYNC 99,VILLA NET CREDIT CARD ACCEPTED,VILLA NET INSURED,VILLA NET BANK TRANSFER ACCEPTED,VILLA NET STANDARDIZED HOUSEKEEPING,VILLA NET STAFF GRATUITY GUIDELINE,VILLA NET GATED COMMUNITY,VILLA NET GOLF VILLA,VILLA NET RESORT VILLA,VILLA NET RESORT COLLECTION NAME,VILLA NET CHEF INCLUDED,VILLA NET TRUE BEACH FRONT,VILLA NET COOK INCLUDED,VILLA NET WAITER BUTLER INCLUDED,VILLA NET OCEAN FRONT,VILLA NET OCEAN VIEW,VILLA NET WALK TO BEACH,VILLA NET ACCESSIBLE,VILLA NET PRIVATE GYM,VILLA NET PRIVATE CINEMA,VILLA NET PICKLEBALL,VILLA NET TENNIS,VILLA NET GOLF CART INCLUDED,VILLA NET HEATED POOL
Agave Villa,"Property in Paradise, Anguilla",Sandy Ground,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Alkera 5BR,"Property in Paradise, Anguilla",Shoal Bay Village,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Antilles & Petit Top,"Property in Paradise, Anguilla",Long Bay Village,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Antilles Pearl,"Property in Paradise, Anguilla",Long Bay Village,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Beach Escape,"Property in Paradise, Anguilla",Blowing Point,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Blue Diamond,"Property in Paradise, Anguilla",Long Bay Village,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cerulean,"Property in Paradise, Anguilla", ,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cloud Cottage,"Property in Paradise, Anguilla",North Hill Village,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cottage - Meads Bay,"Property in Paradise, Anguilla",Long Bay Village,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Grand Outlook,"Property in Paradise, Anguilla",The Valley,Property in Paradise,reservations@propertiesinparadise.com,Anguilla,Property in Paradise,reservations@propertiesinparadise.com,8.7,10,18,21,6,no,yes,yes,yes,yes,10-15%,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
