action,base_name,guesty_full_name,guesty_id,guesty_city,guesty_country,is_listed,is_active,in_db,db_listing_id,db_name,villanet_enabled
"MISSING_INSERT","Blue Lagoon","Villa Blue Lagoon","69944fd269954c001b79f493","Mount Standfast","Barbados","true","true","false","","",""
"MISSING_INSERT","Casa Aventura","Casa Aventura - 9BR","64762daf9b95780042dbf4b8","Puerto Vallarta","Mexico","true","true","false","","",""
"MISSING_INSERT","Coconut Ridge 5","Coconut Ridge 5 1BR","65654b1449cf110031d2dc28","Mount Standfast","Barbados","true","true","false","","",""
"MISSING_INSERT","Emerald Beach 6","Emerald Beach 6","651e832fb3478b0032e4c42b","Gibbes","Barbados","true","true","false","","",""
"MISSING_INSERT","Emerald Beach 6","Emerald Beach 6","651e832fb3478b0032e4c42b","Gibbes","Barbados","true","true","false","","",""
"MISSING_INSERT","Falaise desOiseaux2B","Falaise desOiseaux2B","66013981188c0200113d98bb","Marigot","Saint Martin","true","true","false","","",""
"MISSING_INSERT","Falaise desOiseaux2B","Falaise desOiseaux2B","66013981188c0200113d98bb","Marigot","Saint Martin","true","true","false","","",""
"MISSING_INSERT","Godings Beach H","Godings Beach H 6BR","699547735290f70024209b20","Mullins","Barbados","true","true","false","","",""
"MISSING_INSERT","Idalia","Idalia 2BR","6825a897a98fd20044be9a0c","Saint Jean","Saint Barthelemy","true","true","false","","",""
"MISSING_INSERT","La Marina","La Marina","646c7f6f84dc3a00427056ad","Punta Cana","Dominican Republic","true","true","false","","",""
"MISSING_INSERT","La Marina","La Marina","646c7f6f84dc3a00427056ad","Punta Cana","Dominican Republic","true","true","false","","",""
"MISSING_INSERT","Les Palmiers Bleus4B","Les Palmiers Bleus4B","65342ea0e1cc50003d2538d0","Marigot","Saint Martin","true","true","false","","",""
"MISSING_INSERT","Les Palmiers Bleus4B","Les Palmiers Bleus4B","65342ea0e1cc50003d2538d0","Marigot","Saint Martin","true","true","false","","",""
"MISSING_INSERT","Ocean's 21","Ocean's 21 3BR","65b51e1cf2856700101cc2cf","Petit Cul-de-Sac","Saint Barthélemy","true","true","false","","",""
"MISSING_INSERT","Oceana SH","Oceana SH 4BR","64d98681d40cec003e8d5184","Mount Standfast","Barbados","true","true","false","","",""
"MISSING_INSERT","Oceana SH","Oceana SH 4BR","64d98681d40cec003e8d5184","Mount Standfast","Barbados","true","true","false","","",""
"MISSING_INSERT","Polo View","Polo View 3BR","68246aab050441002cf6a0f1","Durants","Barbados","true","true","false","","",""
"MISSING_INSERT","Polo View","Polo View 3BR","68246aab050441002cf6a0f1","Durants","Barbados","true","true","false","","",""
"MISSING_INSERT","Reeds House 13","Reeds House 13 2BR","64c67a30dc1ebd004f322206","Lower Carlton","Barbados","true","true","false","","",""
"MISSING_INSERT","Reeds House 14","Reeds House 14 3BR","65cce239201c5e0044e420da","Lower Carlton","Barbados","true","true","false","","",""
"MISSING_INSERT","Royal Apartment 222","Royal Apartment 222","662b78f09af4b1005962703f","","Barbados","true","true","false","","",""
"MISSING_INSERT","Royal Apartment 222","Royal Apartment 222","662b78f09af4b1005962703f","","Barbados","true","true","false","","",""
"MISSING_INSERT","Royal Apartment 222","Royal Apartment 222","662b78f09af4b1005962703f","","Barbados","true","true","false","","",""
"MISSING_INSERT","St Peters Bay 103 2B","St Peters Bay 103 2B","68f43aa9d413550012246124","Little Battaleys","Barbados","true","true","false","","",""
"MISSING_INSERT","St Peters Bay 103 2B","St Peters Bay 103 2B","68f43aa9d413550012246124","Little Battaleys","Barbados","true","true","false","","",""
"MISSING_INSERT","Still Fathoms","Still Fathoms 4BR","63628a00ab94160060e8282a","Carlton","Barbados","true","true","false","","",""
"MISSING_INSERT","Sugar Hill B306","Sugar Hill B306 2BR","64f6b51622b394006b84000f","Mount Standfast","Barbados","true","true","false","","",""
"MISSING_INSERT","Sugar Hill B306","Sugar Hill B306 2BR","64f6b51622b394006b84000f","Mount Standfast","Barbados","true","true","false","","",""
"MISSING_INSERT","Sunset Reef","Sunset Reef 8BR","69798b6f3f951f00252e16bd","Boyd's","Saint Kitts and Nevis","true","true","false","","",""
"MISSING_INSERT","Sunset Reef","Sunset Reef 6BR","697987ff41b012002cb90426","Boyd's","Saint Kitts and Nevis","true","true","false","","",""
"MISSING_INSERT","Sunset Reef","Sunset Reef 11BR","696832cbe8e11f00238f20fd","Boyd's","Saint Kitts and Nevis","true","true","false","","",""
"MISSING_INSERT","Ventura","Villa Ventura 5BR","64a362cc1a5d5d00364a0128","Puerto Vallarta","Mexico","true","true","false","","",""
"MISSING_INSERT","Villa Iris","Iris 2BR","64d2f2df94235900360e401f","Vitet","Saint Barthélemy","true","true","false","","",""
"MISSING_INSERT","Villa Iris","Iris 2BR","64d2f2df94235900360e401f","Vitet","Saint Barthélemy","true","true","false","","",""
"MISSING_INSERT","Zephyr Hill","Zephyr Hill 4BR","653722345633f2003be3fd75","Gros Islet","Saint Lucia","true","true","false","","",""
"MISSING_INSERT","Zephyr Hill","Zephyr Hill 4BR","653722345633f2003be3fd75","Gros Islet","Saint Lucia","true","true","false","","",""
"IN_DB_INACTIVE","Amberley House","Amberley House 4BR","664efd54c4de780013bc3971","Holetown","Barbados","true","true","true","664efd54c4de780013bc3971","Amberley House 4BR","false"
"IN_DB_INACTIVE","Amberley House","Amberley House 6BR","63628b3f18968b0073e0c370","Holetown","Barbados","true","true","true","63628b3f18968b0073e0c370","Amberley House 6BR","false"
"IN_DB_INACTIVE","Anchorage #5","Anchorage #5 1BR","65fd4e8e611ecb00138bf0ea","Rodney Bay","Saint Lucia","true","true","true","65fd4e8e611ecb00138bf0ea","Anchorage #5 1BR","false"
"IN_DB_INACTIVE","Anchorage #5","Anchorage #5 3BR","659fca9c6a054d00108fd896","Rodney Bay","Saint Lucia","true","true","true","659fca9c6a054d00108fd896","Anchorage #5 3BR","false"
"IN_DB_INACTIVE","Anchorage #5","Anchorage #5 1BR","65fd4e8e611ecb00138bf0ea","Rodney Bay","Saint Lucia","true","true","true","65fd4e8e611ecb00138bf0ea","Anchorage #5 1BR","false"
"IN_DB_INACTIVE","Angelique","Angelique 4BR","636288d9ab94160060e79bf3","Saint Jean","Saint Barthelemy","true","true","true","636288d9ab94160060e79bf3","Angelique 4BR","false"
"IN_DB_INACTIVE","Angelique","Angelique 4BR","636288d9ab94160060e79bf3","Saint Jean","Saint Barthelemy","true","true","true","636288d9ab94160060e79bf3","Angelique 4BR","false"
"IN_DB_INACTIVE","Aqua Vue","Aqua Vue 3BR","661bfabd6e7ec000149ff579","","Sint Maarten","true","true","true","661bfabd6e7ec000149ff579","Aqua Vue 3BR","false"
"IN_DB_INACTIVE","Aqua Vue","Aqua Vue 4BR","65a29250835a560012e8c974","","Sint Maarten","true","true","true","65a29250835a560012e8c974","Aqua Vue 4BR","false"
